8CON,CONTSHIP CONTAINER LINE,,,,,
99M,UNKNOWN MEXICAN OVERLAND CARRIER,,,,,
AAAB,AAA MOTORS,,,,,
AAAC,AAACTION TRANSPORTATION INC,,,,,
AAAD,A A A DELIVERY INC,,,,,
AAAG,ATC LOGISTICS INC,,,,,
AAAO,AAMODT INC,,,,,
AAAU,ASIA CONTAINER LEASING CO LTD,,,,,
AAAW,AAA WALKER TRANSPORTATION SERVICES,,,,,
AABB,AGENCIA ADUANAL BENITO BARRERA,,,,,
AABE,ABOVE AND BEYOND CARGO SERVICES INC,,,,,
AABG,AABLE LOGISTICS INC,,,,,
AABH,AABALON MOVING SERVICES INC,,,,,
AABJ,ALLIANCE CAPITAL,,,,,
AABK,ARGOS TRANSPORTATION BROKERS LLC,,,,,
AABO,A-ACTION BROKERS,,,,,
AABP,AIME FARMS,,,,,
AABR,ANN ARBOR DISTRIBUTION INC,,,,,
AABU,"ALSTHOM ATLANTIC, ETABLISSEMENTS LE",,,,,
AABW,ATLANTIC TRUCK LINES INC,,,,,
AABX,A B C RECYCLING LTD,,,,,
AACB,AGASSIZ ALPACAS,,,,,
AACC,ABC AUTO TRANSPORT INC,,,,,
AACD,ASSINIBOIA AIR CONDITIONING DIST LT,,,,,
AACI,ALL AMERICAN CONTAINERS INC,,,,,
AACJ,"AYALA MARTINEZ, LUCIO",,,,,
AACL,ALLIANCE AIR CHARTER,,,,,
AACO,APA LOGISTICS LLC,,,,,
AACT,AAA COOPER TRANSPORTATION,,,,,
AADC,AALSTEC DATA CORPORATION,,,,,
AADD,AATCO,,,,,
AADE,A & D EXPRESS INC,,,,,
AADH,AUTOTRANSPORTES ALBA,,,,,
AADI,AUTO ANODICS INC,,,,,
AADK,A & D TRUCKING LTD,,,,,
AADL,AGENCIA ADUANAL S C,,,,,
AADN,AGENCIA ADUANERA DE AMERICA S C,,,,,
AADR,AUTOTRANSPORTES A D R,,,,,
AADS,ALI ARC INDUSTRIES LP,,,,,
AADU,ACMH AEROSPACE & DEFENCE,,,,,
AADW,A A D F WAREHOUSE CORP,,,,,
AAEB,A & A ,,,,,
E,Z BRUSH & OILER INC,,,,,
AAEE,AAA DISCOUNT EXPRESS LTD,,,,,
AAEF,AACTION MOVERS OF NEVADA INC,,,,,
AAEG,ARPCO TRANSPORT SERVICES,,,,,
AAEI,ALL STATES TRANSPORT INC,,,,,
AAEK,AALCO TRANS INC,,,,,
AAEL,AUTOTRANSPORTES ABELARDO ELIZONDO M,,,,,
AAEN,AARID ENTERPRISE CORPORATION,,,,,
AAEO,ASIANA EXPRESS CORP,,,,,
AAEP,ARCTIC ALASKA ENTERPRISES INC,,,,,
AAEQ,AAER INC,,,,,
AAES,A & A EXPRESS INC,,,,,
AAET,A & E TRANSPORT,,,,,
AAEU,AMERICA AFRICA EUROPE LINE,,,,,
AAEY,AMERICAN ALTERNATIVE ENERGY SYSTEMS,,,,,
AAFB,AAF,,,,,
AAFC,A & E TRUCKING INC,,,,,
AAFG,ALL ABOUT FREIGHT SERVICES INC,,,,,
AAFI,ALL AMERICAN MOVING & STORAGE OF FA,,,,,
AAFK,ALL AMERICAN TRUCKING & HOTSHOT INC,,,,,
AAFL,AARON FREIGHT SYSTEM,,,,,
AAFR,ACTION AIR FREIGHT SERVICES INC,,,,,
AAFS,AMERICAN AIRLINES INC (AIR CODE AA),,,,,
AAFT,ANDRETTI AUTOSPORT FIVE (5) INC,,,,,
AAFU,BUNDESMINISTERIUM FUR LANDESVERTEID,,,,,
AAGA,AMERASIAN LOGISTICS CARGO LLC,,,,,
AAGB,ALLEN AND SON MOVING/STORAGE,,,,,
AAGG,AGENCIA ADUANAL GUTIERREZ Y GUTIERR,,,,,
AAGI,ALL AMERICAN MOVERS OF GOLDSBORO IN,,,,,
AAGJ,A & A LOGISTICS LLC,,,,,
AAGK,ALSTAR LOGISTICS LLC,,,,,
AAGL,AGL TRUCKING CORP,,,,,
AAGO,AURORA GEOSCIENCES LTD,,,,,
AAGP,A S A MANAGEMENT CORP,,,,,
AAGQ,A R A LOGISTICS INC,,,,,
AAGS,ASSURED AGGREGATES COMPANY INC,,,,,
AAGV,ALPHA LOGISTICS INC,,,,,
AAGW,AAA GROUP,,,,,
AAGY,AMP AGENCY,,,,,
AAHB,AAA LOBSTER LLC,,,,,
AAHC,ANAHUAC TRANSPORT INC,,,,,
AAHF,A & H FREIGHT CO,,,,,
AAHG,ALL ABOUT HOTSHOT LLC,,,,,
AAHH,ALPINE ACRES,,,,,
AAHJ,ALL LANE TRUCKING LLC,,,,,
AAHK,ALL AMERICAN TRUCKING,,,,,
AAHM,ARPIN AMERICA HOUSTON MOVERS LLC,,,,,
AAHP,AAA SHIPPING LINES CORP,,,,,
AAHQ,ALL AMERICAN CARRIERS INC,,,,,
AAHV,ALL AROUND HOT SHOT SERVICES,,,,,
AAHW,A & A MOTORCOACH,,,,,
AAHY,ALL AMERICAN HEATING SERVICES LLC,,,,,
AAIA,AIRLIFT ASIA INC,,,,,
AAIE,ALG ADMIRAL INC,,,,,
AAIF,A & A INTERNATIONA FREIGHT FORWARDE,,,,,
AAIG,ATP AGRI-SERVICES INC,,,,,
